AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
4.62325E+11,86236920000,92434478880,56562694100,1.23633E+11,2.31167E+11,1.1996E+11,49993940340,2.60196E+11,71268313760,1.06989E+11,1.90363E+11,1.18945E+11,2.5822E+11,2.04125E+11,1.71918E+11,95166299200,83957209120,1.36398E+11,2.92292E+11,54031560210,2.01985E+11,2.17452E+11,32334946020,69908292000,98852419660,1.03149E+11,1.43129E+11,2.46471E+11,3.85363E+11
4.73656E+11,86108400000,91642312680,56795835500,1.23466E+11,2.31495E+11,1.20781E+11,50054451040,2.66204E+11,71753346080,1.06889E+11,1.89355E+11,1.20241E+11,2.57008E+11,2.04012E+11,1.72095E+11,94556515140,84237431000,1.36106E+11,2.92542E+11,54145415730,2.01257E+11,2.16247E+11,32402170440,69338940000,98742318580,1.02938E+11,1.4476E+11,2.44648E+11,3.83954E+11
4.72298E+11,86611770000,92404301120,57747829550,1.21958E+11,2.33079E+11,1.23264E+11,50284391700,2.64982E+11,71519812000,1.07233E+11,1.91667E+11,1.19922E+11,2.60277E+11,2.01568E+11,1.73292E+11,95086327520,84613338400,1.35989E+11,2.89115E+11,54052908120,2.03111E+11,2.20109E+11,32383496990,70009962000,97375230170,1.02908E+11,1.46363E+11,2.47587E+11,3.87256E+11
4.76925E+11,86354730000,97338364880,54244232400,1.19831E+11,2.32094E+11,1.21692E+11,49667182560,2.61723E+11,70841664960,1.07548E+11,1.92543E+11,1.18248E+11,2.59545E+11,1.98298E+11,1.73292E+11,94176649660,84203257600,1.36252E+11,2.82259E+11,53768269320,2.02581E+11,2.2156E+11,31411787040,69145767000,97613782510,1.02347E+11,1.45447E+11,2.46225E+11,3.85627E+11
4.83239E+11,86643900000,96922407940,54742895950,1.20475E+11,2.32925E+11,1.23354E+11,49158892680,2.64167E+11,71838675840,1.09983E+11,1.94767E+11,1.18472E+11,2.60249E+11,1.97283E+11,1.71338E+11,94646483280,84401463320,1.35257E+11,2.81924E+11,53732689470,2.02647E+11,2.20738E+11,31684838040,68739087000,98228513540,1.04415E+11,1.44302E+11,2.47912E+11,3.89192E+11
4.77831E+11,88475310000,98583119070,54898323550,1.20908E+11,2.32983E+11,1.23729E+11,47827657280,2.63556E+11,72795267360,1.09224E+11,1.93726E+11,1.20739E+11,2.59516E+11,1.98373E+11,1.72353E+11,94746447880,83768253400,1.36194E+11,2.98273E+11,53867892900,2.02647E+11,2.19068E+11,31539210840,68749254000,98658416640,1.04492E+11,1.45119E+11,2.46809E+11,3.87212E+11
4.81391E+11,88635960000,97598715640,54580992200,1.2142E+11,2.33601E+11,1.23264E+11,47331469540,2.65695E+11,72507840800,1.08952E+11,1.94274E+11,1.21094E+11,2.60362E+11,1.98035E+11,1.74915E+11,95336239020,84104888400,1.32711E+11,2.96937E+11,53732689470,2.03508E+11,2.20992E+11,31713963480,68057898000,97254516180,1.04503E+11,1.44719E+11,2.50247E+11,3.88356E+11
4.64604E+11,89599860000,97433395980,54444993050,1.229E+11,2.34741E+11,1.23122E+11,47859692360,2.66917E+11,72804249440,1.11014E+11,1.99499E+11,1.21904E+11,2.62475E+11,1.98223E+11,1.75754E+11,96015998300,84347265600,1.33384E+11,2.9652E+11,54017328270,2.06884E+11,2.24145E+11,31775855040,69216936000,97649076440,1.051E+11,1.46207E+11,2.49988E+11,3.91437E+11
4.72269E+11,89022620100,97448425040,54069376350,1.22254E+11,2.32422E+11,1.22318E+11,47617119160,2.68546E+11,72777303200,1.11559E+11,1.95617E+11,1.21765E+11,2.61489E+11,1.97734E+11,1.74959E+11,95996005380,84017363300,1.32389E+11,2.96687E+11,54173879610,2.04766E+11,2.2159E+11,31637509200,69145767000,97217812900,1.04884E+11,1.44604E+11,2.49501E+11,3.90909E+11
4.70295E+11,87629967800,98064616500,53985186400,1.21474E+11,2.31766E+11,1.22532E+11,47871821020,2.66204E+11,72242869440,1.11573E+11,1.94596E+11,1.2164E+11,2.60982E+11,1.93749E+11,1.74738E+11,96040295600,84731029500,1.3195E+11,2.9556E+11,53910588720,2.03144E+11,2.19497E+11,31419068400,69399942000,97493087500,99908360000,1.44547E+11,2.48982E+11,3.94474E+11
4.67891E+11,88015625360,99965792590,54134137850,1.215E+11,2.27998E+11,1.23282E+11,47241130700,2.70278E+11,72777303200,1.10284E+11,1.94618E+11,1.2092E+11,2.63124E+11,1.97396E+11,1.74915E+11,96756717200,84764693000,1.3236E+11,2.96562E+11,54124067820,2.06355E+11,2.20584E+11,31455475200,69776121000,98649240820,1.01173E+11,1.4449E+11,2.5002E+11,3.92424E+11
4.73937E+11,87769233030,99785443870,53383904840,1.21581E+11,2.28172E+11,1.22925E+11,46574054400,2.67402E+11,73275808640,1.10298E+11,1.95747E+11,1.20572E+11,2.62165E+11,1.95628E+11,1.74473E+11,96826369300,85047466400,1.33794E+11,3.00026E+11,54344662890,2.06951E+11,2.21074E+11,31528288800,70101465000,99080504360,99781360000,1.46178E+11,2.50864E+11,4.02385E+11
4.72766E+11,87737094900,1.00372E+11,53485721800,1.24193E+11,2.28848E+11,1.22997E+11,46962171520,2.67301E+11,72732392800,1.09797E+11,1.93119E+11,1.19453E+11,2.61858E+11,1.9529E+11,1.74429E+11,96925872300,84912812400,1.3274E+11,3.0587E+11,54935288400,2.06818E+11,2.21346E+11,31477319280,69867624000,98805229760,1.00264E+11,1.43374E+11,2.51156E+11,4.0186E+11
4.68692E+11,87972774520,1.00011E+11,53593902320,1.2535E+11,2.34045E+11,1.23264E+11,47617119160,2.72157E+11,73437486080,1.09467E+11,1.94574E+11,1.20522E+11,2.62507E+11,1.95854E+11,1.76858E+11,97413437000,85592815100,1.34496E+11,3.18725E+11,54622185720,2.05031E+11,2.25097E+11,31852309320,71463843000,99713635940,1.01102E+11,1.44833E+11,2.53556E+11,4.07233E+11
4.61109E+11,86687249320,98823584030,53231179400,1.24435E+11,2.31669E+11,1.1996E+11,46901528220,2.69122E+11,72353796840,1.08422E+11,1.95454E+11,1.19597E+11,2.61519E+11,1.94162E+11,1.75886E+11,96716916000,85108060700,1.34087E+11,3.13049E+11,53867892900,2.04633E+11,2.23765E+11,31754010960,70924992000,98429021140,99618800000,1.43574E+11,2.51448E+11,4.01729E+11
4.68368E+11,87608542380,1.00311E+11,53606629440,1.26589E+11,2.33069E+11,1.22514E+11,48114394220,2.73675E+11,73953702270,1.08121E+11,1.95443E+11,1.19751E+11,2.65356E+11,2.02846E+11,1.76858E+11,96527860300,86171827300,1.36746E+11,3.15386E+11,54878360640,2.07348E+11,2.24281E+11,31965170400,70976439000,99603526100,1.00731E+11,1.4366E+11,2.52907E+11,4.05092E+11
4.67007E+11,87201459400,99590066090,53549357400,1.26239E+11,2.32858E+11,1.22085E+11,48102265560,2.7327E+11,74257367040,1.07963E+11,1.98581E+11,1.20144E+11,2.66033E+11,2.03372E+11,1.76063E+11,96607462700,86144896500,1.37331E+11,3.138E+11,54906824520,2.02469E+11,2.23602E+11,32027061960,70976439000,99172262560,1.01229E+11,1.42973E+11,2.56314E+11,4.06097E+11
4.67873E+11,86805089130,99439775490,53358450600,1.27773E+11,2.30781E+11,1.21067E+11,47714148440,2.73675E+11,73826797590,1.09124E+11,1.98787E+11,1.21442E+11,2.63974E+11,2.02883E+11,1.76107E+11,97174629800,86420937200,1.39055E+11,3.1188E+11,54700461390,2.03376E+11,2.2507E+11,31470037920,70422722100,98594185900,1.00721E+11,1.43545E+11,2.5534E+11,4.0483E+11
4.68434E+11,87244310240,1.00071E+11,53581175200,1.292E+11,2.30954E+11,1.23211E+11,48029493600,2.74687E+11,73849459140,1.11158E+11,1.99309E+11,1.22287E+11,2.63353E+11,2.03522E+11,1.77167E+11,97622393300,86575789300,1.38324E+11,3.18517E+11,55397826450,2.06552E+11,2.26972E+11,31754010960,71489885580,98603361720,1.01488E+11,1.43059E+11,2.55957E+11,4.04481E+11
4.75206E+11,87726382190,1.01514E+11,53301178560,1.15039E+11,2.29935E+11,1.25087E+11,48635926600,2.73068E+11,73967299200,1.13077E+11,1.97853E+11,1.21218E+11,2.64989E+11,2.045E+11,1.77564E+11,97075126800,87383713300,1.39727E+11,3.17398E+11,55959988080,2.07394E+11,2.29201E+11,32129001000,71922791520,99731987580,1.01676E+11,1.43772E+11,2.56541E+11,4.07233E+11
4.72354E+11,88701238800,1.02258E+11,53288451440,1.15954E+11,2.30896E+11,1.25051E+11,48793599180,2.75192E+11,74511176400,1.14638E+11,1.98918E+11,1.21889E+11,2.66316E+11,2.06267E+11,1.77608E+11,96438307600,87424109500,1.40457E+11,3.15895E+11,56372714340,2.0869E+11,2.30615E+11,32281909560,72355697460,99640229380,1.02616E+11,1.43887E+11,2.56995E+11,4.16188E+11
4.6663E+11,88208454140,1.03971E+11,53479358240,1.14635E+11,2.31858E+11,1.24158E+11,48356967420,2.75395E+11,75091312080,1.14123E+11,2.00307E+11,1.22287E+11,2.66062E+11,2.09537E+11,1.77388E+11,97164679500,87612625100,1.40282E+11,3.10544E+11,55917292260,2.07459E+11,2.29881E+11,32103516240,72164413440,1.00136E+11,1.01549E+11,1.45174E+11,2.56995E+11,4.16975E+11
4.67459E+11,88337006660,1.02934E+11,53243906520,1.15335E+11,2.34742E+11,1.23479E+11,48150780200,2.73472E+11,75508284600,1.1514E+11,2.01154E+11,1.22784E+11,2.67642E+11,2.11078E+11,1.77255E+11,97493039400,87558763500,1.40457E+11,3.06704E+11,55369362570,2.05191E+11,2.29256E+11,32070750120,72093940380,1.00108E+11,1.00274E+11,1.45231E+11,2.57092E+11,4.16844E+11
4.63365E+11,88112039750,99529949850,52613914080,1.14312E+11,2.34627E+11,1.23675E+11,47617119160,2.72764E+11,74783115000,1.14237E+11,2.01089E+11,1.22088E+11,2.6846E+11,2.10891E+11,1.76902E+11,97055226200,86973018600,1.40632E+11,3.09543E+11,55390710480,2.06876E+11,2.30207E+11,32012499240,72466440840,99860449060,1.00645E+11,1.44144E+11,2.55957E+11,4.13611E+11
4.68886E+11,89933200450,99890647290,52257554720,1.15604E+11,2.37435E+11,1.22904E+11,48065879580,2.72258E+11,75721303170,1.14352E+11,1.99938E+11,1.25418E+11,2.68601E+11,2.15101E+11,1.78536E+11,97214431000,87760744500,1.42064E+11,3.12214E+11,55568609730,2.072E+11,2.30153E+11,32482146960,73402725780,1.00723E+11,1.02418E+11,1.44087E+11,2.55827E+11,4.13655E+11
4.67684E+11,89826073350,1.02175E+11,52741185280,1.14738E+11,2.38531E+11,1.23361E+11,48102265560,2.73978E+11,76188131100,1.13421E+11,1.96865E+11,1.18658E+11,2.68742E+11,2.16003E+11,1.78536E+11,97781598100,88211835400,1.42999E+11,3.13633E+11,56123655390,2.08172E+11,2.30914E+11,32955435360,74238334920,1.01118E+11,1.02392E+11,1.43629E+11,2.58909E+11,4.15053E+11
4.71229E+11,90618813890,99943249000,53708446400,1.13723E+11,2.37973E+11,1.22553E+11,47313902660,2.70437E+11,76813589880,1.14237E+11,1.94303E+11,1.18061E+11,2.69814E+11,2.16717E+11,1.78271E+11,98428367600,88353222100,1.45103E+11,3.14218E+11,56308670610,2.08302E+11,2.32164E+11,33053733720,74570565060,1.01218E+11,1.02296E+11,1.43029E+11,2.6092E+11,4.15402E+11
4.7992E+11,91154449390,1.01281E+11,53682992160,1.13402E+11,2.36127E+11,1.25083E+11,47047072140,2.70943E+11,76160937240,1.15097E+11,1.92533E+11,1.17564E+11,2.68206E+11,2.14913E+11,1.77741E+11,97711946000,88972630500,1.44869E+11,3.11797E+11,56643121200,2.06681E+11,2.30071E+11,33053733720,75023606160,1.01797E+11,1.03101E+11,1.43143E+11,2.61731E+11,4.1182E+11
4.91221E+11,91690084890,1.01236E+11,53880262520,1.13723E+11,2.35435E+11,1.24363E+11,47423060600,2.71449E+11,76242518820,1.13588E+11,1.94335E+11,1.18807E+11,2.6798E+11,2.16078E+11,1.77476E+11,96577611800,89881545000,1.456E+11,3.13884E+11,56450990010,2.06617E+11,2.29093E+11,33126547320,74862524880,1.0232E+11,1.03339E+11,1.428E+11,2.62542E+11,4.09767E+11
5.00317E+11,91915051800,1.00883E+11,53835717600,1.13616E+11,2.35473E+11,1.23959E+11,47374545960,2.69729E+11,76568845140,1.13602E+11,1.95106E+11,1.18509E+11,2.67077E+11,2.15101E+11,1.77476E+11,96886071100,89888277700,1.456E+11,3.18308E+11,56315786580,2.05644E+11,2.28929E+11,33035530320,74983335840,1.01723E+11,1.03071E+11,1.41913E+11,2.62802E+11,4.08369E+11
4.95963E+11,91368703590,1.00815E+11,53612993000,1.1276E+11,2.35281E+11,1.24609E+11,48490382680,2.69729E+11,76922365320,1.12334E+11,1.92717E+11,1.17813E+11,2.66005E+11,2.14199E+11,1.7699E+11,96030345300,85963113600,1.46622E+11,3.20979E+11,56280206730,2.06292E+11,2.26537E+11,32402052000,74661173280,1.01218E+11,1.03917E+11,1.40884E+11,2.63126E+11,4.08543E+11
5.09541E+11,90640239310,99191796000,53371177720,1.13669E+11,2.35627E+11,1.22834E+11,46962171520,2.68717E+11,76165469550,1.10842E+11,1.91197E+11,1.17067E+11,2.65131E+11,2.13747E+11,1.78182E+11,95900991400,85235982000,1.45395E+11,3.19811E+11,56308670610,2.02339E+11,2.27869E+11,32412974040,74228267340,1.0065E+11,1.02205E+11,1.41856E+11,2.63451E+11,4.12344E+11
5.08352E+11,90522399500,98816069500,53434813320,1.1361E+11,2.34185E+11,1.22957E+11,47168358740,2.69527E+11,76460069700,1.10405E+11,1.90828E+11,1.18012E+11,2.64171E+11,2.14988E+11,1.78271E+11,95234321300,85141724200,1.4408E+11,3.2507E+11,56088075540,2.02663E+11,2.26565E+11,32260065480,74147726700,99961383080,1.02706E+11,1.41198E+11,2.60239E+11,4.13567E+11
5.10962E+11,90565250340,99740356690,53714809960,1.11798E+11,2.32896E+11,1.23414E+11,46828756260,2.67604E+11,75036924360,1.10602E+11,1.91197E+11,1.20596E+11,2.62309E+11,2.09838E+11,1.75886E+11,94955712900,85390834100,1.42619E+11,3.17223E+11,56180583150,2.02533E+11,2.24771E+11,32008858560,73241644500,1.00062E+11,1.02184E+11,1.39883E+11,2.57709E+11,4.11208E+11
5.03871E+11,92054317030,1.01581E+11,54408438000,1.13776E+11,2.35185E+11,1.25575E+11,47629247820,2.72562E+11,75784755510,1.12433E+11,1.92924E+11,1.2338E+11,2.66457E+11,2.1074E+11,1.78668E+11,96318904000,86589254700,1.44314E+11,3.20228E+11,56828136420,2.04413E+11,2.29745E+11,32405692680,73996713000,1.01962E+11,1.02265E+11,1.41513E+11,2.59331E+11,4.17848E+11
5.09639E+11,91861488250,1.01206E+11,54783888040,1.13455E+11,2.37204E+11,1.2496E+11,49484932800,2.75091E+11,75993241770,1.12095E+11,1.92696E+11,1.23927E+11,2.66457E+11,2.12432E+11,1.78403E+11,95244271600,86562323900,1.44811E+11,3.23108E+11,56771208660,2.04672E+11,2.30452E+11,32201814600,74218199760,1.02017E+11,1.02123E+11,1.4177E+11,2.587E+11,4.18678E+11
5.08847E+11,91368703590,1.00469E+11,54993885520,1.13402E+11,2.3782E+11,1.25769E+11,50673541480,2.74585E+11,76926897630,1.10701E+11,1.92326E+11,1.2338E+11,2.6561E+11,2.13146E+11,1.75975E+11,94955712900,85875588500,1.44431E+11,3.18141E+11,56372714340,2.03117E+11,2.2738E+11,32198173920,74550429900,1.01833E+11,1.01029E+11,1.40283E+11,2.55885E+11,4.1811E+11
5.05077E+11,89879636900,99612609680,54268439680,1.11637E+11,2.34819E+11,1.23923E+11,49788149300,2.6892E+11,75961515600,1.1125E+11,1.90242E+11,1.21392E+11,2.62704E+11,2.10778E+11,1.77211E+11,94786557800,85350437900,1.43028E+11,3.13967E+11,54679113480,1.98645E+11,2.28386E+11,31710322800,72627522120,99704460120,1.04185E+11,1.38681E+11,2.55917E+11,4.11776E+11
5.04339E+11,89236874300,99913190880,54452982920,1.09659E+11,2.32685E+11,1.22359E+11,49436418160,2.68515E+11,76292374230,1.10588E+11,1.88255E+11,1.2164E+11,2.57202E+11,2.1168E+11,1.73148E+11,93632323000,85222516600,1.41188E+11,3.10711E+11,54245039310,1.96052E+11,2.2371E+11,31539210840,71489885580,99181438380,1.03061E+11,1.37652E+11,2.54008E+11,4.16581E+11
4.98842E+11,89643957280,1.00567E+11,54758433800,1.08216E+11,2.30588E+11,1.22342E+11,50358196320,2.7155E+11,76319568090,1.11264E+11,1.87636E+11,1.20746E+11,2.57738E+11,2.11154E+11,1.73237E+11,93970633200,85121526100,1.41363E+11,3.06287E+11,54366010800,1.96052E+11,2.23901E+11,31488241320,70956303840,98502427700,1.05047E+11,1.36822E+11,2.52649E+11,4.16363E+11
